code,name,type,report_code,notes
453,Office Expenses,Expense,EXP.OPE,Xero default
454,Office supplies,Expense,EXP.OPE,
455,Computer Expenses,Expense,EXP.OPE,
456,IT Expenses,Expense,EXP.OPE,
457,Software,Expense,EXP.OPE,
458,Website Hosting and Maintenance,Expense,EXP.OPE,
459,Website expense,Expense,EXP.OPE,
461,Printing & Stationery,Expense,EXP.OPE,Xero default
462,Postage,Expense,EXP.OPE,
469,Rent,Expense,EXP.OPE,Xero default
470,Rental expenses,Expense,EXP.OPE,
471,Rates and taxes,Expense,EXP.OPE,
473,Repairs and Maintenance,Expense,EXP.OPE,Xero default
477,Wages and Salaries,Expense,EXP.OPE,Xero default
478,Superannuation,Expense,EXP.OPE,Xero default
479,Holiday pay,Expense,EXP.OPE,movement in leave provision
480,Staff Training,Expense,EXP.OPE,
481,Staff amenities,Expense,EXP.OPE,
482,Staff Recruitment expenses,Expense,EXP.OPE,
483,PSI Attribution,Expense,EXP.OPE,Complex Communicators - PSI attributed to individual
485,Subscriptions,Expense,EXP.OPE,Xero default
486,Dues and subscriptions,Expense,EXP.OPE,
487,Donation,Expense,EXP.OPE,non-deductible - tax reco item
488,Fines and penalties,Expense,EXP.OPE,non-deductible - tax reco item
489,Telephone & Internet,Expense,EXP.OPE,Xero default
490,"Telephone, mobile and internet",Expense,EXP.OPE,
491,Bad Debts Expenses,Expense,EXP.OPE,
492,Consulting fees,Expense,EXP.OPE,
493,Travel - National,Expense,EXP.OPE,Xero default
494,Travel - International,Expense,EXP.OPE,Xero default
495,Franchise fees,Expense,EXP.OPE,
496,Stripe Fees,Expense,EXP.OPE,
497,Bank Revaluations,Expense,EXP.OPE,Xero default
498,Unrealised Currency Gains,Expense,EXP.OPE,Xero default - can be negative
499,Realised Currency Gains,Expense,EXP.OPE,Xero default - can be negative
# ---- Income tax (P&L: Income Tax Expense)
505,Income Tax Expense,Expense,EXP.TAX,Xero default
506,Income tax,Expense,EXP.TAX,
# ---- Bank (BS: Cash and Cash Equivalents > Bank Accounts)
090,Business Bank Account,Bank,ASS.CUR.CAS.BAN,Xero default
091,Business Savings Account,Bank,ASS.CUR.CAS.BAN,Xero default
092,Cash in Hand,Bank,ASS.CUR.CAS.OTH,Other Cash Items
093,Cash in hand,Bank,ASS.CUR.CAS.OTH,Other Cash Items
094,Petty Cash,Bank,ASS.CUR.CAS.OTH,Other Cash Items
# ---- Current assets
610,Accounts Receivable,Current Asset,ASS.CUR.REC,Xero default
611,Trade debtors,Current Asset,ASS.CUR.REC,
612,Loan to Directors,Current Asset,ASS.CUR.REC,Div 7A - check
613,Deposit paid,Current Asset,ASS.CUR.REC,
614,ATO Integrated Client Account,Current Asset,ASS.CUR.REC,Capstone shows ICA in Receivables when in credit; Padel shows it in Payables when a liability
615,Provision for income tax,Current Asset,ASS.CUR.REC,Capstone - refund position coded to receivables
616,GST payments/refunds,Current Asset,ASS.CUR.REC,Capstone - refund position coded to receivables
620,Prepayments,Prepayment,ASS.CUR.PRE,Xero default
630,Inventory,Inventory,ASS.CUR.INV.INV,Xero default
640,Short term deposits,Current Asset,ASS.CUR.FIN,Frontier - bank guarantee term deposit
# ---- Fixed assets (BS: Property, Plant and Equipment) - class from the 4th segment
700,Land and Buildings at Cost,Fixed Asset,ASS.NCA.PPE.LAN,
701,Leasehold Improvements,Fixed Asset,ASS.NCA.PPE.LEA,
702,Leasehold Improvements at Cost,Fixed Asset,ASS.NCA.PPE.LEA,
703,Accumulated Depreciation on Leasehold Improvements,Fixed Asset,ASS.NCA.PPE.LEA,
704,Accumulated Amortisation of Leasehold Improvements,Fixed Asset,ASS.NCA.PPE.LEA,
710,Office Equipment,Fixed Asset,ASS.NCA.PPE.OFF,Xero default
711,Less Accumulated Depreciation on Office Equipment,Fixed Asset,ASS.NCA.PPE.OFF,Xero default
712,Office Equipment at Cost,Fixed Asset,ASS.NCA.PPE.OFF,
713,Accumulated Depreciation on Office Equipments,Fixed Asset,ASS.NCA.PPE.OFF,
720,Computer Equipment,Fixed Asset,ASS.NCA.PPE.COM,Xero default
721,Less Accumulated Depreciation on Computer Equipment,Fixed Asset,ASS.NCA.PPE.COM,Xero default
730,Plant and Equipment at Cost,Fixed Asset,ASS.NCA.PPE.PLA,
731,Accumulated Depreciation of Plant and Equipment,Fixed Asset,ASS.NCA.PPE.PLA,
740,Motor Vehicles at Cost,Fixed Asset,ASS.NCA.PPE.MOT,
741,Accumulated Depreciation of Motor Vehicles,Fixed Asset,ASS.NCA.PPE.MOT,
745,Furniture & Fixture at Cost,Fixed Asset,ASS.NCA.PPE.FUR,
746,Accumulated Depreciation on Furniture & Fixtures,Fixed Asset,ASS.NCA.PPE.FUR,
747,Low Value Pool,Fixed Asset,ASS.NCA.PPE.LVP,
# ---- Intangibles / investments
750,Formation Costs,Non-current Asset,ASS.NCA.INT.OTH,
751,Less Accumulated Amortisation Formation Costs,Non-current Asset,ASS.NCA.INT.OTH,
752,Formation costs - Accumulated amortisation,Non-current Asset,ASS.NCA.INT.OTH,
753,Brand Deposit (Trademark),Non-current Asset,ASS.NCA.INT.OTH,Padel Point
754,Bank Guarantees,Non-current Asset,ASS.NCA.INT.OTH,Padel Point coded these as intangibles - consider ASS.NCA.FIN
755,Goodwill,Non-current Asset,ASS.NCA.INT.GOO,
760,Investments,Non-current Asset,ASS.NCA.INV,
# ---- Current liabilities: payables
800,Accounts Payable,Current Liability,LIA.CUR.PAY,Xero default
801,Unpaid Expense Claims,Current Liability,LIA.CUR.PAY,Xero default
802,Trade creditors,Current Liability,LIA.CUR.PAY,
803,Wages Payable - Payroll,Current Liability,LIA.CUR.EMP,Xero default
804,Wages Payable,Current Liability,LIA.CUR.EMP,Xero default
805,Client control account,Current Liability,LIA.CUR.PAY,Frontier - trust monies
806,Revenue Owned - Luxury Brand,Current Liability,LIA.CUR.PAY,Frontier
807,Bankwest World Mastercard,Current Liability,LIA.CUR.PAY,credit card - Frontier shows in Payables
808,AMEX platinum credit card,Current Liability,LIA.CUR.PAY,credit card
809,ATO Integrated Client account,Current Liability,LIA.CUR.PAY,Padel/Frontier show the ICA inside Payables > Current
# ---- Current liabilities: tax
820,GST,Current Liability,LIA.CUR.TAX,Xero default
821,GST payments / refunds,Current Liability,LIA.CUR.TAX,
825,PAYG Withholdings Payable,Current Liability,LIA.CUR.TAX,Xero default
826,PAYG withholding payable,Current Liability,LIA.CUR.TAX,
827,PAYG instalment payable,Current Liability,LIA.CUR.TAX,
828,PAYG Installment Payable,Current Liability,LIA.CUR.TAX,
830,Income Tax Payable,Current Liability,LIA.CUR.TAX,Xero default
831,Income tax payable,Current Liability,LIA.CUR.TAX,
832,FBT Payable,Current Liability,LIA.CUR.TAX,
# ---- Current liabilities: personnel
835,Superannuation Payable,Current Liability,LIA.CUR.EMP,Xero default
836,Superannuation payable,Current Liability,LIA.CUR.EMP,
# ---- Provisions
840,Provision for holiday pay,Current Liability,LIA.CUR.PRO,
841,Provision for Employee Bonuses,Current Liability,LIA.CUR.PRO,
842,Provision for Rent Expense,Current Liability,LIA.CUR.PRO,
843,Provision for Annual Leave,Current Liability,LIA.CUR.PRO,
844,Provision for Long Service Leave,Non-current Liability,LIA.NCA.PRO,
# ---- Xero housekeeping accounts (should be nil at year end)
845,Revenue Received in Advance,Current Liability,LIA.CUR.PAY,Xero default
846,Historical Adjustment,Current Liability,LIA.CUR.PAY,Xero default - must be nil
850,Suspense,Current Liability,LIA.CUR.PAY,Xero default - must be nil
855,Clearing Account,Current Liability,LIA.CUR.PAY,Xero default - must be nil
860,Rounding,Current Liability,LIA.CUR.PAY,Xero default
877,Tracking Transfers,Current Liability,LIA.CUR.PAY,Xero default - must be nil
# ---- Loans
880,Loan - Related party,Current Liability,LIA.CUR.FIN,Frontier - current related-party loan (separate Financial Liabilities note)
881,Loans - Related party,Current Liability,LIA.CUR.FIN,
885,Loan - Director,Current Liability,LIA.CUR.PAY.FIN,Wisdom IT variant - current director loan disclosed inside the Payables note
900,Loan,Non-current Liability,LIA.NCA.FIN.UNS,Xero default
901,Loan from director,Non-current Liability,LIA.NCA.SHA,Capstone - 'Loan from Shareholders/Associates' note
902,Director Loan,Non-current Liability,LIA.NCA.FIN.UNS,Padel - Financial Liabilities > Non Current > Unsecured
903,Hire Purchase Liability,Non-current Liability,LIA.NCA.FIN.SEC,
904,Bank Loan,Non-current Liability,LIA.NCA.FIN.SEC,
# ---- Equity
960,Retained Earnings,Equity,EQU.RET,Xero system account - prior years
961,Current Year Earnings,Equity,EQU.CYE,Xero system line on the BS export - must equal NPAT
962,Fully Franked Dividends Paid,Equity,EQU.DIV,printed in the P&L 'Dividend Paid' section
963,Unfranked Dividends Paid,Equity,EQU.DIV,
964,Fully franked dividends paid,Equity,EQU.DIV,
965,Dividends Paid,Equity,EQU.DIV,
970,Share Capital,Equity,EQU.SHA,
971,Owner A Share Capital,Equity,EQU.SHA,Xero default
975,Reserves,Equity,EQU.RES,
976,Capital Loss Reserve,Equity,EQU.RES,Padel Point (spelt 'Capital Loss Resreve' in the source pack)
977,Capital Profits Reserve,Equity,EQU.RES,
980,Owner A Drawings,Equity,EQU.DRA,Xero default - not for a company
981,Owner A Funds Introduced,Equity,EQU.CAP,Xero default - not for a company
